ID, Book
1, "Fourth Wing"
2, "Friends, Lovers, and the Big Terrible Thing"
3, "Iron Flame"
4, "Absolution"
5, "The Woman in Me"
6, "Being Henry: The Fonz.... and Beyond"
7, "A Fire in the Flesh"
8, "What the River Knows"
9, "The Graham Effect"
10, "A Curse for True Love"
11, "The Berry Pickers"
12, "Dirty Thirty (Stephanie Plum)"
13, "Murtagh:The World of Eragon"
14, "Love Redesigned"
15, "The Exchange: After the Firm"
16, "Nightbane"
17, "Five Broken Blades"
18, "Our Fight"
19, "Ruthless Vows"
20, "Killers of the Flower Moon: The Osage Murders and the Birth of the FBI"
21, "The Storyteller: Tales of Life and Music"
22, "House of Flame and Shadow"
23, "House of Sky and Breath"
24, "House of Earth and Blood"
25, "Archive"
26, "Two Twisted Crowns"
27, "King of Greed"
28, "The Cruel Prince"
29, "The Secret(Jack Reacher Series)"
30, "Once Upon a Broken Heart"
31, "One Dark Window"
32, "Renegade:Defending Democracy and Liberty in our Divided Country"
33, "The Narrow Road Between Desiers"
34, "Bookshops and Bonedust"
35, "Resurrection Walk"
36, "From a Far and Lovely Country"
37, "Forever Strong"
38, "Big Heart Little Stove"
39, "All the light we Cannot See"
40, "Divine Rivals"
41, "unOrdinary"
42, "My Dress-Up Darling"
43, "The Hurricane Wars"
44, "The Ballad of Songbirds and Snakes"
45, "Bright Young Women"
46,  "The Edge"
47, "Wisteria"
48, "Check & Mate"
49, "Alex Cross Must Die"
50,  "Tom Lake"
